Commitments of Traders Historical Report for "CAD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 04, 2023","169138","16607","75116","118790","60642","31176","30815","79882","4345","21921","82634","14457","39176"
"Mar 28, 2023","176559","19672","76497","124285","60868","30744","37336","85729","3231","19800","87342","18535","36731"
"Mar 21, 2023","178185","18812","75633","127798","63349","29717","37345","88611","3473","18910","89159","18198","36322"
"Mar 14, 2023","244421","60738","92453","146380","110011","32106","36760","63860","4206","18213","95224","56104","45425"
"Mar 07, 2023","203816","62108","91310","104046","64577","29955","40222","61428","3611","21453","91861","56438","44182"
"Feb 28, 2023","165097","31599","67673","97390","58930","31474","33860","58309","3481","21497","76499","26869","34614"
"Feb 21, 2023","151896","21889","59392","90489","50736","34967","37217","53827","3469","22200","62329","14676","33410"
"Feb 14, 2023","149059","24466","59960","88778","52420","33363","34227","54285","3439","23591","67255","15960","30932"
"Feb 07, 2023","149621","33292","66383","80689","48743","32898","31753","45624","3439","24181","65628","25887","37042"
"Jan 31, 2023","140167","26404","56588","77299","49662","33382","30835","39953","4330","25495","59297","18352","33019"
"Jan 24, 2023","137476","25978","56690","77571","48412","30927","29374","40421","3430","25342","58447","17086","34181"
"Jan 17, 2023","132346","20897","48156","75387","47899","32211","32440","36196","5965","25140","55114","14458","26636"
"Jan 10, 2023","133888","22166","53121","75060","47795","33283","29593","38047","4530","25554","55310","13951","31486"
"Jan 03, 2023","138995","25497","52263","77624","53083","31870","29645","37973","5277","26558","60358","15910","28114"
"Dec 27, 2022","140544","28879","58912","78624","50198","30275","28668","38857","5152","29863","56104","16329","35658"
"Dec 20, 2022","180857","39705","66666","94996","72010","34768","30793","37678","15538","28122","63787","35744","33701"
"Dec 13, 2022","169433","31720","58968","87471","62547","32089","29765","38423","15559","27147","59336","27526","28427"
"Dec 06, 2022","148891","30717","52807","79379","56474","30984","31799","33441","13879","27941","52358","26001","26399"
"Nov 29, 2022","136654","35123","51239","66304","52353","33375","31210","21101","15314","37229","40886","21031","30735"
"Nov 22, 2022","134901","36733","48405","65508","52844","30413","31405","22289","14912","43163","41343","14506","28263"
"Nov 15, 2022","139753","37456","50376","70173","55944","30478","31787","26205","15672","44106","44880","14824","30064"
"Nov 08, 2022","147555","39586","58050","75750","57820","30370","29836","30871","14610","44901","46913","16927","37931"
"Nov 01, 2022","147170","38522","56171","74352","55077","31212","32838","28686","15325","45888","45562","16235","34838"
"Oct 25, 2022","143417","35607","53762","74064","56011","31123","31021","27193","16320","44193","44469","15542","32245"
"Oct 18, 2022","146425","35384","55957","78895","53792","29508","34038","28672","14479","45323","43354","16959","35987"
"Oct 11, 2022","144000","32476","58148","77929","50563","31136","32830","28352","14996","41565","39901","16922","38375"
"Oct 04, 2022","141799","36246","57653","70624","52677","33001","29541","19348","13966","45141","42544","19115","38239"
"Sep 27, 2022","140889","33677","51343","75267","53560","29978","34019","22600","13939","43307","40094","19869","36904"
"Sep 20, 2022","160314","47913","45857","73298","72406","33975","36923","13392","26814","43356","38857","31774","30421"
"Sep 13, 2022","149556","48102","35677","66866","80342","30933","29882","12177","33978","43213","31651","25871","27848"
"Sep 06, 2022","160567","57185","39275","66485","85401","33039","32033","12456","40962","47391","29798","32977","33929"
"Aug 30, 2022","158165","58704","34525","61821","90860","35000","30140","9474","49033","46772","30047","36987","30242"
"Aug 23, 2022","152685","53617","30390","61209","90892","34196","27740","9686","55434","47475","24983","33117","29046"
"Aug 16, 2022","147596","51843","24976","58476","90605","33129","27867","8131","58891","48432","22456","31761","25152"
"Aug 09, 2022","143646","46898","25675","59798","89541","33808","25288","8558","51274","48694","28952","26725","26432"
"Aug 02, 2022","145914","48342","28065","59355","89762","35393","25263","8730","50073","47666","28349","27053","29523"
"Jul 26, 2022","144182","46414","30645","61869","84066","33790","27362","9080","40401","45880","33791","26490","30339"
"Jul 19, 2022","142216","42040","35373","67038","75784","31391","29312","13873","26727","43663","39400","23077","34557"
"Jul 12, 2022","139297","41613","38108","64673","69326","31834","30686","12270","21801","38952","41330","25838","33913"
"Jul 05, 2022","145372","45365","41072","67829","72362","30460","30220","12180","25616","39442","38073","32050","39133"
"Jun 28, 2022","142584","45893","36796","65407","77654","29537","26387","7353","33089","43085","30590","31611","40658"
"Jun 21, 2022","140047","42260","38155","67084","73662","29011","26538","5007","34428","45762","27511","28319","39434"
"Jun 14, 2022","175219","56550","33348","79064","109348","29357","22275","4108","68759","48228","14825","40520","35840"
"Jun 07, 2022","167373","39288","40350","74044","87445","37463","23000","1657","53198","50489","11759","21777","43052"
"May 31, 2022","135929","30520","37527","70006","70333","32660","25326","4582","35653","46032","25891","17964","33564"
"May 24, 2022","138508","28999","41686","74953","68020","32048","26294","9222","31448","43923","35978","16811","28943"
"May 17, 2022","151585","36069","50565","79825","67234","31228","29323","13425","30030","42869","40453","24727","33546"
"May 10, 2022","151009","38679","44086","75215","72276","32880","30412","8976","36760","40164","34946","30879","31511"
"May 03, 2022","152779","44670","35641","72629","85588","32093","28163","9050","45599","37533","33599","37521","29209"
"Apr 26, 2022","155362","48787","27906","69995","100476","32868","23268","5485","69031","40185","18388","40918","28317"
"Apr 19, 2022","153302","44063","22837","68989","108327","37784","19672","4170","83465","49069","9909","28987","26267"
"Apr 12, 2022","155390","37724","25566","76922","110372","38796","17504","4233","86393","57853","9074","22775","28894"
"Apr 05, 2022","157562","37325","30402","77906","108320","40906","17415","4399","83707","58400","8599","22983","33825"
"Mar 29, 2022","147421","32429","33964","76738","92256","36771","19718","3652","65197","53515","10483","23095","38601"
"Mar 22, 2022","124090","29314","34254","59269","66834","33406","20901","2224","34643","38177","17015","20862","38201"
"Mar 15, 2022","143863","47406","29666","59344","72489","29213","33808","26260","29690","36890","27844","14319","30438"
