Commitments of Traders Historical Report for "GBP"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"May 23, 2023","237614","69203","57614","123348","140024","31097","26010","56759","66351","67653","62529","53878","53052"
"May 16, 2023","247165","77388","64795","125675","143404","30873","25737","55715","64110","76148","68232","56611","58929"
"May 09, 2023","242576","71561","67033","126935","138463","31057","24057","55835","59876","76505","67556","52697","61136"
"May 02, 2023","231602","58661","57596","131148","135965","29164","25412","58132","57193","64760","72116","53504","48832"
"Apr 25, 2023","231666","59405","53566","127306","137836","31336","26645","55918","63473","60203","65310","57163","47200"
"Apr 18, 2023","224536","53834","52532","127731","135726","30745","24052","55280","64365","60652","61420","52218","47665"
"Apr 11, 2023","225292","54928","57326","125634","130975","31221","23482","56055","59911","56504","59508","54061","53517"
"Apr 04, 2023","224690","46415","61208","133802","124921","31247","25335","61932","57726","49095","59099","54677","53028"
"Mar 28, 2023","199868","28355","52439","133149","110572","26264","24757","64672","41019","38907","68151","44539","38219"
"Mar 21, 2023","190796","28652","49150","129030","103524","23376","28384","65931","28809","32351","71690","44689","35921"
"Mar 14, 2023","193377","32334","49648","128752","103050","22535","30923","68653","24751","31293","79060","48727","34931"
"Mar 07, 2023","222558","49111","66513","145695","111782","22450","38961","72275","28993","31234","83041","77238","50659"
"Feb 28, 2023","212064","41562","65286","145180","108739","21140","33857","74494","28809","31056","85765","70536","46714"
"Feb 21, 2023","213502","45475","66891","143077","105436","20231","36456","74664","29718","30041","84906","72880","44655"
"Feb 14, 2023","205316","42198","61993","138641","104626","20968","35188","68754","32065","30157","79500","71042","42087"
"Feb 07, 2023","203720","47131","61252","132947","101601","20214","37439","63174","33123","31993","71442","74244","45540"
"Jan 31, 2023","196113","36234","54551","130370","101702","24459","34810","56135","32035","42887","66094","55827","43861"
"Jan 24, 2023","194051","34756","58690","127207","99553","26309","30029","54562","32768","43145","64879","53299","48116"
"Jan 17, 2023","201956","41469","66166","130575","99139","24051","30790","56350","32252","43374","69709","61449","50950"
"Jan 10, 2023","202713","36007","65463","138532","103264","23559","29371","50925","34438","54759","68182","57690","53851"
"Jan 03, 2023","205722","43625","63926","135314","105622","22168","31559","53617","33874","48608","63392","66614","60209"
"Dec 27, 2022","195440","40585","51472","128090","108829","21579","29953","50819","35305","47666","60134","57734","50503"
"Dec 20, 2022","187766","35284","40887","123375","110718","22873","29927","48548","35984","46853","60308","51110","41252"
"Dec 13, 2022","240264","32008","57747","158686","127398","25472","31021","82921","55490","41702","60452","55236","57169"
"Dec 06, 2022","230311","28539","56732","168838","131064","22941","32522","87475","52520","42986","69333","55649","52473"
"Nov 29, 2022","225480","26000","62584","172199","122967","21363","34011","89822","47445","42153","73565","54861","50822"
"Nov 22, 2022","222317","30917","66859","167143","115656","19257","34802","88735","44396","41560","75930","59202","52331"
"Nov 15, 2022","230102","34699","67533","170322","120883","19676","36281","89795","43269","41981","83053","64269","51857"
"Nov 08, 2022","237334","36630","76365","176560","120305","18714","35234","100639","37087","37951","92215","65610","58267"
"Nov 01, 2022","243549","34979","79815","183210","117833","19464","40005","107764","35819","38162","90884","64702","61888"
"Oct 25, 2022","258969","43511","91316","189146","122586","21012","39767","113163","35196","38708","103884","73010","65358"
"Oct 18, 2022","258826","40328","91539","194385","118076","18668","43766","117974","31233","37723","108547","71520","60352"
"Oct 11, 2022","255649","48979","88149","179700","114896","19620","45254","105852","27148","38898","112569","74168","56394"
"Oct 04, 2022","256906","42078","91617","191819","112703","16367","45944","116412","32594","39765","117087","68994","49615"
"Sep 27, 2022","281805","59831","106255","195244","130027","21327","40120","120835","30905","39646","126937","82200","70569"
"Sep 20, 2022","266295","41289","96132","197346","123858","21738","40383","125191","31731","39746","139003","63810","44053"
"Sep 13, 2022","303965","41129","109215","232346","145021","21161","40400","130230","23108","38211","137807","58401","52123"
"Sep 06, 2022","280937","52731","103163","189617","119659","22607","42133","118305","20005","37988","150652","72659","43824"
"Aug 30, 2022","262004","58477","87647","172796","121298","18706","41034","101920","21486","37620","146295","78967","33482"
"Aug 23, 2022","248007","58783","86749","161585","112420","19954","41153","93190","22298","35502","134736","79104","34908"
"Aug 16, 2022","227752","44084","77193","156167","108950","19890","33998","86658","25620","36058","120103","68302","30233"
"Aug 09, 2022","224581","42219","76687","156282","104232","19243","36825","90834","22918","35810","121305","62952","30444"
"Aug 02, 2022","226987","29305","85714","171966","99389","19191","35359","105340","23253","33980","119845","54856","36026"
"Jul 26, 2022","225889","34606","88596","168266","97307","17551","34520","100153","23607","35168","120811","56892","35035"
"Jul 19, 2022","228051","31943","89193","170053","99754","19882","32931","101827","25517","35320","120552","55659","34245"
"Jul 12, 2022","231945","33850","92939","174748","99343","18999","35315","107888","24299","34836","118167","56072","38924"
"Jul 05, 2022","240926","39618","95826","178745","101736","17693","38494","107282","25063","36930","119802","62120","40833"
"Jun 28, 2022","228736","35184","88302","170967","100737","18055","35167","101335","28330","35470","113490","59266","35300"
"Jun 21, 2022","228266","28470","91717","177170","99268","17735","32390","107533","24114","36253","115037","54632","40097"
"Jun 14, 2022","238322","29343","94939","184011","102948","20625","36092","119300","21313","33431","122895","53674","41970"
"Jun 07, 2022","258623","34618","105428","191742","111277","21602","31257","119186","34001","34806","116241","59013","47500"
"May 31, 2022","252881","30788","104893","193786","106614","19446","32513","117118","28614","34439","117794","56237","44647"
"May 24, 2022","253864","25936","106308","203802","106760","19107","35777","128578","25871","33822","123538","48901","43751"
"May 17, 2022","253811","26613","105854","201647","107303","20811","35914","128846","24642","32338","126142","48435","42711"
"May 10, 2022","264594","29469","109067","210627","115382","20157","35804","133801","29573","32276","128393","57370","48177"
"May 03, 2022","268496","33536","107349","208754","119728","20590","35803","132467","29416","33910","133590","64400","50903"
"Apr 26, 2022","272792","40436","110057","207141","119230","20783","39073","135294","30431","33279","132771","68538","53115"
"Apr 19, 2022","249529","36811","95725","186134","113245","21987","35962","116713","35546","35161","121834","62372","39240"
"Apr 12, 2022","246152","35514","88568","186343","115394","19803","37698","116596","35756","33273","121115","61921","33379"
"Apr 05, 2022","238266","35873","77631","175429","117650","19923","35944","106698","37132","31931","109807","64401","33667"
"Mar 29, 2022","224365","30624","70694","164519","112510","22187","34126","92713","36648","31905","96850","60877","34125"
"Mar 22, 2022","195712","32753","69997","137829","87439","19316","32462","88294","16575","32386","91548","40366","34503"
"Mar 15, 2022","188323","32442","61503","125994","88715","23650","31868","82605","11257","32842","94124","31843","28629"
