Commitments of Traders Historical Report for "AUD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Apr 25, 2023","178757","54241","93703","98900","45154","18987","33271","59971","4717","46755","94473","40401","36954"
"Apr 18, 2023","159708","44610","86966","88628","38071","20500","28701","51102","4302","46411","84353","30262","34350"
"Apr 11, 2023","159441","45481","83418","86468","39398","21588","30721","50115","4143","47160","85454","30248","32244"
"Apr 04, 2023","151242","46687","73920","80257","43420","19523","29127","44157","5376","46108","83652","32751","27385"
"Mar 28, 2023","151238","43813","79166","83523","37693","19330","29807","48580","2786","42807","85016","32010","27602"
"Mar 21, 2023","151836","41183","79642","87354","36800","17905","30000","50587","1600","39040","85083","34704","28414"
"Mar 14, 2023","150058","41685","81776","86614","33485","16801","29839","47953","1600","39446","82728","36519","29433"
"Mar 07, 2023","157990","54307","79131","69770","33771","19755","30930","24467","3090","44875","71515","45951","32517"
"Feb 28, 2023","126681","41071","65236","63222","34644","19108","23521","22137","9723","47401","67108","29146","20784"
"Feb 21, 2023","123456","38492","63280","60543","35494","21994","22255","20644","12443","49445","61322","24107","22874"
"Feb 14, 2023","126033","30752","59659","66335","42600","24446","19274","20940","13764","56768","61439","15829","26210"
"Feb 07, 2023","124006","30044","58149","64682","41941","24606","19242","19190","14115","59488","60035","13007","25253"
"Jan 31, 2023","136304","36337","66929","72741","49579","24573","17143","24473","16617","64948","62210","16681","36959"
"Jan 24, 2023","129490","29466","62637","74818","45112","22903","19438","29260","15282","56187","61967","15739","29914"
"Jan 17, 2023","128213","28593","62213","71052","45116","26348","18664","27879","16288","54251","63496","13844","26321"
"Jan 10, 2023","126028","30210","63900","71696","39486","20573","19093","28360","11338","51961","63583","17147","26587"
"Jan 03, 2023","132960","35208","71475","74724","35129","17847","21175","30819","4985","52527","69026","22391","30858"
"Dec 27, 2022","129195","32955","69746","72829","34548","18013","19503","29026","5834","54004","67853","18771","28834"
"Dec 20, 2022","129256","31779","65894","75507","37079","16213","20526","29768","7320","50790","65494","22603","27889"
"Dec 13, 2022","172269","35825","73662","105480","62635","17339","22347","63287","26158","52113","58607","15950","44672"
"Dec 06, 2022","158755","36334","76897","101160","58340","16814","19071","64064","22533","52681","59873","13809","48789"
"Nov 29, 2022","159378","35045","79675","104506","53600","15698","21974","68789","16476","50277","62593","14096","46455"
