Commitments of Traders Historical Report for "CHF"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Jul 25, 2023","44180","7804","16235","16787","13366","19044","14034","11063","3729","7146","16538","4567","7485"
"Jul 18, 2023","43213","6772","16983","18183","12256","18158","13874","12786","3346","6400","16381","4073","7782"
"Jul 11, 2023","43563","7417","15324","20604","12439","15411","15669","16804","2687","2282","16328","7073","8649"
"Jul 03, 2023","40639","10634","14038","18633","11068","11193","15354","14639","2356","2638","14034","9920","8409"
"Jun 27, 2023","37379","6627","11573","17667","10649","12918","14990","12976","2701","3065","12213","6011","6829"
"Jun 20, 2023","36128","8322","13173","15585","10349","12170","12555","10570","2835","2814","13176","8299","7290"
"Jun 13, 2023","48163","8386","13429","22225","15192","13320","15310","14958","5662","3251","14520","9109","7268"
"Jun 06, 2023","44087","11579","12893","20726","13678","11309","17043","15806","5986","2748","13776","11864","6724"
"May 30, 2023","41354","8482","8917","18560","17027","13516","14614","14632","8438","3112","12398","7424","5036"
"May 23, 2023","44808","10267","11170","18328","16637","13674","14462","14585","8043","5167","12084","7047","7551"
"May 16, 2023","43681","8561","10420","18524","15686","14600","15579","14499","6064","4951","12278","5668","7464"
"May 09, 2023","43389","7056","11523","19431","14672","14657","14949","14671","4828","4849","13329","4827","7685"
"May 02, 2023","43251","8230","11229","18816","16249","13740","13308","14790","5249","4844","14697","5459","7366"
"Apr 25, 2023","41736","6556","10212","18374","15673","15210","14255","14794","4081","4220","14455","4042","7262"
"Apr 18, 2023","40870","5347","10067","18138","14752","15185","13851","14636","4790","4173","12202","2880","7818"
"Apr 11, 2023","38272","4155","10889","19920","10184","12050","15052","15601","1590","3334","11387","3233","8096"
"Apr 04, 2023","37177","2958","10961","20038","9216","12249","15068","15825","1563","1800","11004","3464","7610"
"Mar 28, 2023","34856","3978","10052","19865","9132","10185","14844","15744","1413","1775","10450","4157","7061"
"Mar 21, 2023","35837","4853","12150","19555","6944","9978","15292","15815","0","1829","10244","4701","8694"
"Mar 14, 2023","39006","3594","13559","21386","8068","11742","15095","16052","943","3326","10124","3347","10285"
"Mar 07, 2023","46745","10394","14344","27451","12621","8258","19138","15689","179","3119","11001","12997","11725"
"Feb 28, 2023","41991","8876","13793","24005","8566","9047","19569","16596","0","3154","11152","10564","10620"
"Feb 21, 2023","39087","7243","13763","22668","10610","9110","14648","14305","1418","3723","10114","9301","11802"
"Feb 14, 2023","37591","4701","12169","22447","10365","9934","14548","13874","1444","3795","9063","6326","11056"
"Feb 07, 2023","38842","7052","13420","21184","10380","9776","14212","13616","1690","3101","8656","8715","12832"
"Jan 31, 2023","38345","5664","13978","21109","9293","11549","15051","12802","2012","4075","7931","7084","12698"
"Jan 24, 2023","35368","3624","13132","20185","8620","11540","13597","12855","1360","3660","8070","4998","12208"
"Jan 17, 2023","34300","3919","11860","18933","7576","11429","14845","13025","787","2272","8028","5259","10507"
"Jan 10, 2023","33266","3668","11038","17034","8828","12542","13378","12138","1551","1722","8426","4501","9570"
"Jan 03, 2023","33250","6632","9486","16274","9843","10322","13899","12481","1012","1780","10317","7403","7503"
"Dec 27, 2022","29851","3929","8060","13618","9451","12218","12254","10917","1057","2259","9503","3939","6519"
"Dec 20, 2022","30040","5001","9065","13639","8467","11376","12484","10733","1040","2293","8420","5026","7484"
"Dec 13, 2022","49340","2081","13892","34016","18044","10597","14758","25130","5068","1870","9607","2659","10823"
"Dec 06, 2022","40171","1343","13573","28500","10641","10183","15812","24980","2467","2109","9573","1439","10859"
"Nov 29, 2022","41360","1488","15735","28814","8844","10696","16419","25189","1402","2212","9225","1526","12577"
