Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Oct 31, 2023","277272","37641","141489","193460","85894","41836","45554","95726","18600","66878","105466","51443","92401"
"Oct 24, 2023","260909","30964","130593","186381","81572","37435","42615","93007","11911","69055","104615","38333","85257"
"Oct 17, 2023","267521","33139","135797","193634","81275","36426","46127","95733","10590","69103","109679","45803","86136"
"Oct 10, 2023","259937","36780","136256","182514","76362","37570","44246","84672","17445","71664","98101","47367","88017"
"Oct 03, 2023","282682","47544","161532","194193","76324","37744","41625","89363","10770","73374","112561","61438","103308"
"Sep 26, 2023","285974","46169","155681","200015","79788","35139","45854","100800","7355","72874","125877","55409","90441"
"Sep 19, 2023","265860","45737","147356","183927","72482","32790","42616","94027","6459","70008","120315","49757","81156"
"Sep 12, 2023","270854","38247","136960","183589","76945","36043","43974","99063","15756","66782","112799","35535","70979"
"Sep 05, 2023","268344","37014","134150","190804","84937","34930","43661","102790","15737","66176","108909","36609","77972"
"Aug 29, 2023","245452","24790","123263","181043","77975","35843","40438","93017","20552","65309","101629","29062","66941"
"Aug 22, 2023","246923","28680","124003","180967","76343","34492","43793","98203","14926","60285","103535","33762","69863"
"Aug 15, 2023","247954","34789","115750","175636","85139","34192","43728","100071","21404","58222","98987","34878","68723"
"Aug 08, 2023","229849","23135","106315","169528","80407","33411","39352","91947","27833","61103","82745","24813","65142"
"Aug 01, 2023","229015","26849","106065","164659","81371","34184","38256","89647","32047","62030","78296","27311","67491"
"Jul 25, 2023","223760","30358","108110","161166","74611","30040","38843","88964","28728","61905","78893","30457","67088"
"Jul 18, 2023","230932","29776","120015","170491","72296","28148","36104","91295","27652","71714","73393","27722","82476"
"Jul 11, 2023","252349","29838","147020","190189","61112","29288","41183","106064","7703","73839","103651","27126","85376"
"Jul 03, 2023","265066","41713","159633","190157","64147","30449","38539","105497","6957","72426","116667","40812","89943"
"Jun 27, 2023","251524","38018","150888","181511","59145","29248","38744","102223","7282","69585","109028","35107","83128"
"Jun 20, 2023","238556","32244","139900","175201","56929","27983","38599","100226","9767","67672","101127","28924","77642"
"Jun 13, 2023","252566","37088","141064","175067","56886","31341","45546","93201","5201","65662","96580","37530","83179"
"Jun 06, 2023","245332","34151","138968","174461","60725","30731","39650","93189","5468","66695","100718","36006","84398"
"May 30, 2023","243237","40736","136929","166931","60419","29299","39618","86145","5896","71565","96623","39074","85452"
"May 23, 2023","226400","36760","117420","157498","65120","27680","39398","72848","6070","79464","86693","33768","81823"
"May 16, 2023","200515","29494","94285","142392","66255","26570","37916","50237","18976","87556","70492","25509","62763"
"May 09, 2023","192574","22229","83244","137992","68830","29150","37297","46758","24264","83367","62819","21147","56698"
"May 02, 2023","202996","28088","96412","141332","63811","30042","39239","52832","18045","79011","66327","26556","66722"
"Apr 25, 2023","184041","13680","82424","135330","62705","30358","34239","46947","22641","77569","58684","16108","56543"
"Apr 18, 2023","177507","15661","72530","132747","71102","27108","31884","49542","26933","75302","50857","15253","58960"
"Apr 11, 2023","176822","11933","69140","132604","76255","30405","29547","48381","28076","74130","50284","13815","57389"
"Apr 04, 2023","178828","11523","68559","133327","81061","32150","27380","47011","30608","73899","51294","15053","59500"
"Mar 28, 2023","169473","9717","63692","132070","74508","24593","28180","46401","18332","72482","56242","14688","57172"
